2026-03-23 10:48:27,140 Epoch: [1][0/98]	Time 7.501 (7.501)	Data 0.375 (0.375)	Loss 1.9182 (1.9182)	Prec@1 10.742 (10.742)	Prec@5 50.391 (50.391)	
2026-03-23 10:48:30,744 Epoch: [1][10/98]	Time 0.026 (1.003)	Data 0.006 (0.040)	Loss 1.0286 (1.4734)	Prec@1 24.609 (17.676)	Prec@5 77.344 (63.867)	
2026-03-23 10:48:31,074 Epoch: [1][20/98]	Time 0.027 (0.538)	Data 0.006 (0.024)	Loss 0.6660 (1.2043)	Prec@1 25.391 (20.247)	Prec@5 79.688 (69.141)	
2026-03-23 10:48:31,403 Epoch: [1][30/98]	Time 0.026 (0.373)	Data 0.006 (0.018)	Loss 0.4558 (1.0172)	Prec@1 27.930 (22.168)	Prec@5 79.492 (71.729)	
2026-03-23 10:48:31,732 Epoch: [1][40/98]	Time 0.027 (0.288)	Data 0.006 (0.015)	Loss 0.3693 (0.8876)	Prec@1 29.102 (23.555)	Prec@5 83.984 (74.180)	
2026-03-23 10:48:32,063 Epoch: [1][50/98]	Time 0.026 (0.237)	Data 0.006 (0.013)	Loss 0.3350 (0.7955)	Prec@1 35.352 (25.521)	Prec@5 81.445 (75.391)	
2026-03-23 10:48:32,395 Epoch: [1][60/98]	Time 0.027 (0.203)	Data 0.006 (0.012)	Loss 0.3218 (0.7278)	Prec@1 33.008 (26.590)	Prec@5 84.961 (76.758)	
2026-03-23 10:48:32,726 Epoch: [1][70/98]	Time 0.026 (0.178)	Data 0.006 (0.011)	Loss 0.3149 (0.6762)	Prec@1 34.375 (27.563)	Prec@5 85.938 (77.905)	
2026-03-23 10:48:33,059 Epoch: [1][80/98]	Time 0.027 (0.159)	Data 0.006 (0.011)	Loss 0.3189 (0.6365)	Prec@1 33.398 (28.212)	Prec@5 84.180 (78.602)	
2026-03-23 10:48:33,390 Epoch: [1][90/98]	Time 0.026 (0.144)	Data 0.006 (0.010)	Loss 0.3080 (0.6036)	Prec@1 37.695 (29.160)	Prec@5 85.547 (79.297)	
2026-03-23 10:48:33,779 Epoch: [1][97/98]	Time 0.194 (0.138)	Data 0.006 (0.010)	Loss 0.2967 (0.5847)	Prec@1 41.071 (29.894)	Prec@5 88.690 (79.875)	
2026-03-23 10:48:35,155 Test: [0/20]	Model Time 0.725 (0.725)	Loss Time 0.000 (0.000)	Loss 0.3055 (0.3055)	Prec@1 38.672 (38.672)	Prec@5 87.305 (87.305)	
2026-03-23 10:48:35,189 Test: [1/20]	Model Time 0.029 (0.377)	Loss Time 0.000 (0.000)	Loss 0.2993 (0.3024)	Prec@1 40.625 (39.648)	Prec@5 87.695 (87.500)	
2026-03-23 10:48:35,207 Test: [2/20]	Model Time 0.015 (0.256)	Loss Time 0.000 (0.000)	Loss 0.2971 (0.3006)	Prec@1 40.234 (39.844)	Prec@5 90.234 (88.411)	
2026-03-23 10:48:35,225 Test: [3/20]	Model Time 0.015 (0.196)	Loss Time 0.000 (0.000)	Loss 0.2972 (0.2998)	Prec@1 40.820 (40.088)	Prec@5 89.453 (88.672)	
2026-03-23 10:48:35,247 Test: [4/20]	Model Time 0.015 (0.160)	Loss Time 0.000 (0.000)	Loss 0.3037 (0.3005)	Prec@1 40.039 (40.078)	Prec@5 87.891 (88.516)	
2026-03-23 10:48:35,265 Test: [5/20]	Model Time 0.015 (0.136)	Loss Time 0.000 (0.000)	Loss 0.3012 (0.3007)	Prec@1 38.281 (39.779)	Prec@5 89.258 (88.639)	
2026-03-23 10:48:35,282 Test: [6/20]	Model Time 0.015 (0.118)	Loss Time 0.000 (0.000)	Loss 0.3005 (0.3006)	Prec@1 39.062 (39.676)	Prec@5 89.453 (88.756)	
2026-03-23 10:48:35,300 Test: [7/20]	Model Time 0.015 (0.106)	Loss Time 0.000 (0.000)	Loss 0.2962 (0.3001)	Prec@1 41.406 (39.893)	Prec@5 90.039 (88.916)	
2026-03-23 10:48:35,323 Test: [8/20]	Model Time 0.018 (0.096)	Loss Time 0.000 (0.000)	Loss 0.2964 (0.2997)	Prec@1 41.602 (40.082)	Prec@5 90.234 (89.062)	
2026-03-23 10:48:35,342 Test: [9/20]	Model Time 0.016 (0.088)	Loss Time 0.000 (0.000)	Loss 0.2966 (0.2994)	Prec@1 42.969 (40.371)	Prec@5 89.844 (89.141)	
2026-03-23 10:48:35,361 Test: [10/20]	Model Time 0.015 (0.081)	Loss Time 0.000 (0.000)	Loss 0.3045 (0.2998)	Prec@1 36.328 (40.004)	Prec@5 87.500 (88.991)	
2026-03-23 10:48:35,380 Test: [11/20]	Model Time 0.016 (0.076)	Loss Time 0.000 (0.000)	Loss 0.2940 (0.2993)	Prec@1 44.141 (40.348)	Prec@5 90.039 (89.079)	
2026-03-23 10:48:35,399 Test: [12/20]	Model Time 0.015 (0.071)	Loss Time 0.000 (0.000)	Loss 0.3012 (0.2995)	Prec@1 38.867 (40.234)	Prec@5 89.453 (89.108)	
2026-03-23 10:48:35,417 Test: [13/20]	Model Time 0.015 (0.067)	Loss Time 0.000 (0.000)	Loss 0.3022 (0.2997)	Prec@1 39.062 (40.151)	Prec@5 87.109 (88.965)	
2026-03-23 10:48:35,435 Test: [14/20]	Model Time 0.015 (0.064)	Loss Time 0.000 (0.000)	Loss 0.2967 (0.2995)	Prec@1 42.188 (40.286)	Prec@5 89.062 (88.971)	
2026-03-23 10:48:35,453 Test: [15/20]	Model Time 0.015 (0.060)	Loss Time 0.000 (0.000)	Loss 0.2939 (0.2991)	Prec@1 44.141 (40.527)	Prec@5 88.477 (88.940)	
2026-03-23 10:48:35,470 Test: [16/20]	Model Time 0.015 (0.058)	Loss Time 0.000 (0.000)	Loss 0.3105 (0.2998)	Prec@1 37.109 (40.326)	Prec@5 86.523 (88.798)	
2026-03-23 10:48:35,488 Test: [17/20]	Model Time 0.014 (0.055)	Loss Time 0.000 (0.000)	Loss 0.2944 (0.2995)	Prec@1 43.359 (40.495)	Prec@5 89.258 (88.824)	
2026-03-23 10:48:35,507 Test: [18/20]	Model Time 0.015 (0.053)	Loss Time 0.000 (0.000)	Loss 0.2971 (0.2994)	Prec@1 42.188 (40.584)	Prec@5 86.914 (88.723)	
2026-03-23 10:48:35,571 Test: [19/20]	Model Time 0.062 (0.054)	Loss Time 0.000 (0.000)	Loss 0.3021 (0.2994)	Prec@1 35.662 (40.450)	Prec@5 88.971 (88.730)	
2026-03-23 10:48:35,727 Saving checkpoint model to /home/axtr/Documents/Code/finn/brevitas_examples/bnn_pynq/experiments/CNV_2W1A_2W1A_20260323_104816/checkpoints/best.tar
2026-03-23 10:48:36,449 Epoch: [2][0/98]	Time 0.040 (0.040)	Data 0.618 (0.618)	Loss 0.3063 (0.3063)	Prec@1 37.695 (37.695)	Prec@5 86.133 (86.133)	
2026-03-23 10:48:36,786 Epoch: [2][10/98]	Time 0.026 (0.027)	Data 0.007 (0.063)	Loss 0.3105 (0.3084)	Prec@1 33.789 (35.742)	Prec@5 86.328 (86.230)	
2026-03-23 10:48:37,119 Epoch: [2][20/98]	Time 0.026 (0.027)	Data 0.009 (0.036)	Loss 0.2954 (0.3041)	Prec@1 44.336 (38.607)	Prec@5 88.867 (87.109)	
2026-03-23 10:48:37,449 Epoch: [2][30/98]	Time 0.025 (0.026)	Data 0.007 (0.027)	Loss 0.2997 (0.3030)	Prec@1 38.867 (38.672)	Prec@5 87.109 (87.109)	
2026-03-23 10:48:37,783 Epoch: [2][40/98]	Time 0.026 (0.026)	Data 0.009 (0.022)	Loss 0.2986 (0.3021)	Prec@1 38.672 (38.672)	Prec@5 85.742 (86.836)	
2026-03-23 10:48:38,119 Epoch: [2][50/98]	Time 0.026 (0.026)	Data 0.006 (0.019)	Loss 0.2872 (0.2996)	Prec@1 43.359 (39.453)	Prec@5 89.062 (87.207)	
2026-03-23 10:48:38,456 Epoch: [2][60/98]	Time 0.026 (0.026)	Data 0.009 (0.017)	Loss 0.2962 (0.2991)	Prec@1 40.430 (39.593)	Prec@5 87.695 (87.277)	
2026-03-23 10:48:38,803 Epoch: [2][70/98]	Time 0.026 (0.026)	Data 0.006 (0.015)	Loss 0.2833 (0.2972)	Prec@1 43.555 (40.088)	Prec@5 89.648 (87.573)	
2026-03-23 10:48:39,137 Epoch: [2][80/98]	Time 0.026 (0.026)	Data 0.008 (0.014)	Loss 0.2911 (0.2965)	Prec@1 40.430 (40.126)	Prec@5 88.477 (87.674)	
2026-03-23 10:48:39,465 Epoch: [2][90/98]	Time 0.026 (0.026)	Data 0.006 (0.013)	Loss 0.2821 (0.2950)	Prec@1 45.312 (40.645)	Prec@5 89.062 (87.812)	
2026-03-23 10:48:39,682 Epoch: [2][97/98]	Time 0.022 (0.026)	Data 0.006 (0.013)	Loss 0.2861 (0.2945)	Prec@1 41.369 (40.689)	Prec@5 89.881 (87.940)	
2026-03-23 10:48:40,441 Test: [0/20]	Model Time 0.023 (0.023)	Loss Time 0.000 (0.000)	Loss 0.2820 (0.2820)	Prec@1 42.773 (42.773)	Prec@5 92.383 (92.383)	
2026-03-23 10:48:40,459 Test: [1/20]	Model Time 0.015 (0.019)	Loss Time 0.000 (0.000)	Loss 0.2788 (0.2804)	Prec@1 44.922 (43.848)	Prec@5 87.891 (90.137)	
2026-03-23 10:48:40,479 Test: [2/20]	Model Time 0.016 (0.018)	Loss Time 0.000 (0.000)	Loss 0.2869 (0.2826)	Prec@1 40.820 (42.839)	Prec@5 92.188 (90.820)	
